
Frequency,Formatted Data
1.000000e+09,-3.650185e-01
1.011000e+09,-2.809731e-01
1.022000e+09,-3.293358e-01
1.033000e+09,-2.683100e-01
1.044000e+09,-3.133762e-01
1.055000e+09,-3.477168e-01
1.066000e+09,-4.204335e-01
1.077000e+09,-3.384236e-01
1.088000e+09,-3.324294e-01
1.099000e+09,-3.457606e-01
1.110000e+09,-3.896583e-01
1.121000e+09,-2.904047e-01
1.132000e+09,-2.884991e-01
1.143000e+09,-3.040808e-01
1.154000e+09,-2.381067e-01
1.165000e+09,-4.007263e-01
1.176000e+09,-3.311940e-01
1.187000e+09,-4.262514e-01
1.198000e+09,-2.894213e-01
1.209000e+09,-3.117777e-01
1.220000e+09,-3.801709e-01
1.231000e+09,-2.409179e-01
1.242000e+09,-3.057732e-01
1.253000e+09,-2.631086e-01
1.264000e+09,-2.487128e-01
1.275000e+09,-2.234778e-01
1.286000e+09,-2.386154e-01
1.297000e+09,-2.234267e-01
1.308000e+09,-2.210915e-01
1.319000e+09,-2.584788e-01
1.330000e+09,-2.157115e-01
1.341000e+09,-2.500960e-01
1.352000e+09,-2.332973e-01
1.363000e+09,-3.391564e-01
1.374000e+09,-3.034900e-01
1.385000e+09,-2.537415e-01
1.396000e+09,-2.961945e-01
1.407000e+09,-2.233314e-01
1.418000e+09,-2.883888e-01
1.429000e+09,-2.676782e-01
1.440000e+09,-2.458020e-01
1.451000e+09,-2.977935e-01
1.462000e+09,-3.901084e-01
1.473000e+09,-3.225788e-01
1.484000e+09,-3.187958e-01
1.495000e+09,-3.242823e-01
1.506000e+09,-3.504435e-01
1.517000e+09,-3.620953e-01
1.528000e+09,-3.477737e-01
1.539000e+09,-3.339577e-01
1.550000e+09,-3.704218e-01
1.561000e+09,-3.144135e-01
1.572000e+09,-3.962657e-01
1.583000e+09,-3.650309e-01
1.594000e+09,-3.378026e-01
1.605000e+09,-3.050463e-01
1.616000e+09,-3.369421e-01
1.627000e+09,-3.413616e-01
1.638000e+09,-3.638924e-01
1.649000e+09,-2.871510e-01
1.660000e+09,-3.632165e-01
1.671000e+09,-3.282269e-01
1.682000e+09,-3.518575e-01
1.693000e+09,-3.248006e-01
1.704000e+09,-3.987772e-01
1.715000e+09,-3.623945e-01
1.726000e+09,-3.481588e-01
1.737000e+09,-3.744713e-01
