
Frequency,Formatted Data
1.000000e+09,-2.619850e+01
1.011000e+09,-2.734559e+01
1.022000e+09,-2.645570e+01
1.033000e+09,-2.392397e+01
1.044000e+09,-2.496855e+01
1.055000e+09,-2.438353e+01
1.066000e+09,-2.499919e+01
1.077000e+09,-2.712284e+01
1.088000e+09,-2.913490e+01
1.099000e+09,-3.036090e+01
1.110000e+09,-2.829264e+01
1.121000e+09,-2.507970e+01
1.132000e+09,-2.362328e+01
1.143000e+09,-2.244653e+01
1.154000e+09,-2.260902e+01
1.165000e+09,-2.227761e+01
1.176000e+09,-2.312844e+01
1.187000e+09,-2.317564e+01
1.198000e+09,-2.449204e+01
1.209000e+09,-2.650254e+01
1.220000e+09,-2.761452e+01
1.231000e+09,-2.640796e+01
1.242000e+09,-2.612837e+01
1.253000e+09,-2.446868e+01
1.264000e+09,-2.368771e+01
1.275000e+09,-2.320688e+01
1.286000e+09,-2.319021e+01
1.297000e+09,-2.244063e+01
1.308000e+09,-2.223852e+01
1.319000e+09,-2.180585e+01
1.330000e+09,-2.062121e+01
1.341000e+09,-2.085995e+01
1.352000e+09,-2.053976e+01
1.363000e+09,-2.046193e+01
1.374000e+09,-2.107061e+01
1.385000e+09,-2.119458e+01
1.396000e+09,-2.246561e+01
1.407000e+09,-2.474960e+01
1.418000e+09,-2.539063e+01
1.429000e+09,-2.459552e+01
1.440000e+09,-2.338532e+01
1.451000e+09,-2.201899e+01
1.462000e+09,-2.165612e+01
1.473000e+09,-1.981316e+01
1.484000e+09,-2.008294e+01
1.495000e+09,-1.988327e+01
1.506000e+09,-2.018251e+01
1.517000e+09,-2.059404e+01
1.528000e+09,-2.047032e+01
1.539000e+09,-2.172525e+01
1.550000e+09,-2.158266e+01
1.561000e+09,-2.101543e+01
1.572000e+09,-2.092418e+01
1.583000e+09,-2.020469e+01
1.594000e+09,-2.057486e+01
1.605000e+09,-2.024920e+01
1.616000e+09,-2.071709e+01
1.627000e+09,-2.032435e+01
1.638000e+09,-2.007415e+01
1.649000e+09,-1.898951e+01
1.660000e+09,-1.944325e+01
1.671000e+09,-1.897386e+01
1.682000e+09,-1.938886e+01
1.693000e+09,-1.889737e+01
1.704000e+09,-1.917258e+01
1.715000e+09,-1.958650e+01
1.726000e+09,-2.038224e+01
1.737000e+09,-2.198196e+01
1.748000e+09,-2.263327e+01
1.759000e+09,-2.147502e+01
1.770000e+09,-2.151200e+01
1.781000e+09,-1.994697e+01
1.792000e+09,-2.019090e+01
1.803000e+09,-1.958567e+01
1.814000e+09,-1.919354e+01
1.825000e+09,-1.911441e+01
1.836000e+09,-1.873511e+01
1.847000e+09,-1.951985e+01
1.858000e+09,-1.995569e+01
1.869000e+09,-2.089797e+01
1.880000e+09,-2.156437e+01
1.891000e+09,-2.245333e+01
1.902000e+09,-2.206226e+01
1.913000e+09,-2.176836e+01
1.924000e+09,-2.142875e+01
1.935000e+09,-2.062893e+01
1.946000e+09,-2.016417e+01
1.957000e+09,-2.011841e+01
1.968000e+09,-2.025025e+01
1.979000e+09,-2.005663e+01
1.990000e+09,-1.999738e+01
2.001000e+09,-2.019593e+01
2.012000e+09,-2.087635e+01
2.023000e+09,-2.040824e+01
2.034000e+09,-2.014998e+01
