
Frequency,Formatted Data
1.000000e+09,-6.828433e+00
1.011000e+09,-6.613786e+00
1.022000e+09,-6.277329e+00
1.033000e+09,-6.147756e+00
1.044000e+09,-6.167155e+00
1.055000e+09,-6.290619e+00
1.066000e+09,-6.420939e+00
1.077000e+09,-6.706234e+00
1.088000e+09,-6.916975e+00
1.099000e+09,-6.858218e+00
1.110000e+09,-6.741933e+00
1.121000e+09,-6.268628e+00
1.132000e+09,-6.051596e+00
1.143000e+09,-5.968351e+00
1.154000e+09,-6.059134e+00
1.165000e+09,-6.040466e+00
1.176000e+09,-6.226923e+00
1.187000e+09,-6.385396e+00
1.198000e+09,-6.581470e+00
1.209000e+09,-6.666006e+00
1.220000e+09,-6.669131e+00
1.231000e+09,-6.441814e+00
1.242000e+09,-6.448784e+00
1.253000e+09,-6.361363e+00
1.264000e+09,-6.429525e+00
1.275000e+09,-6.681166e+00
1.286000e+09,-6.784582e+00
1.297000e+09,-6.920403e+00
1.308000e+09,-6.803909e+00
1.319000e+09,-6.750305e+00
1.330000e+09,-6.592480e+00
1.341000e+09,-6.450767e+00
1.352000e+09,-6.524258e+00
1.363000e+09,-6.479638e+00
1.374000e+09,-6.556338e+00
1.385000e+09,-6.682689e+00
1.396000e+09,-6.878903e+00
1.407000e+09,-6.992460e+00
1.418000e+09,-6.832985e+00
1.429000e+09,-6.681303e+00
1.440000e+09,-6.496557e+00
1.451000e+09,-6.337892e+00
1.462000e+09,-6.586811e+00
1.473000e+09,-6.705382e+00
1.484000e+09,-6.823784e+00
1.495000e+09,-7.056480e+00
1.506000e+09,-7.198003e+00
1.517000e+09,-7.282526e+00
1.528000e+09,-7.124379e+00
1.539000e+09,-6.986318e+00
1.550000e+09,-6.796590e+00
1.561000e+09,-6.568457e+00
1.572000e+09,-6.554324e+00
1.583000e+09,-6.500114e+00
1.594000e+09,-6.677664e+00
1.605000e+09,-6.620301e+00
1.616000e+09,-6.729556e+00
1.627000e+09,-6.658654e+00
1.638000e+09,-6.357632e+00
1.649000e+09,-6.302985e+00
1.660000e+09,-6.219956e+00
1.671000e+09,-6.090976e+00
1.682000e+09,-6.363083e+00
1.693000e+09,-6.405838e+00
1.704000e+09,-6.632985e+00
1.715000e+09,-6.645026e+00
1.726000e+09,-6.779982e+00
1.737000e+09,-6.548355e+00
1.748000e+09,-6.593100e+00
1.759000e+09,-6.299659e+00
1.770000e+09,-6.093207e+00
1.781000e+09,-6.189430e+00
1.792000e+09,-6.452210e+00
1.803000e+09,-6.716026e+00
1.814000e+09,-6.994877e+00
1.825000e+09,-7.206417e+00
1.836000e+09,-7.041955e+00
1.847000e+09,-6.968301e+00
1.858000e+09,-6.663204e+00
1.869000e+09,-6.399410e+00
1.880000e+09,-6.156902e+00
1.891000e+09,-6.220050e+00
1.902000e+09,-6.330564e+00
