
Frequency,Formatted Data
1.000000e+09,-3.506238e+01
1.011000e+09,-3.415930e+01
1.022000e+09,-3.318198e+01
1.033000e+09,-3.410335e+01
1.044000e+09,-3.581673e+01
1.055000e+09,-3.484386e+01
1.066000e+09,-3.337159e+01
1.077000e+09,-3.344619e+01
1.088000e+09,-3.247656e+01
1.099000e+09,-3.150377e+01
1.110000e+09,-3.285807e+01
1.121000e+09,-3.380834e+01
1.132000e+09,-3.449036e+01
1.143000e+09,-3.208254e+01
1.154000e+09,-3.518195e+01
1.165000e+09,-3.788133e+01
1.176000e+09,-3.596596e+01
1.187000e+09,-3.522852e+01
1.198000e+09,-3.312108e+01
1.209000e+09,-3.565598e+01
1.220000e+09,-3.371637e+01
1.231000e+09,-3.548998e+01
1.242000e+09,-3.468225e+01
1.253000e+09,-3.306669e+01
1.264000e+09,-3.703815e+01
1.275000e+09,-3.835495e+01
1.286000e+09,-4.037132e+01
1.297000e+09,-4.995422e+01
1.308000e+09,-3.851168e+01
1.319000e+09,-4.235814e+01
1.330000e+09,-3.724859e+01
1.341000e+09,-4.630855e+01
1.352000e+09,-4.086143e+01
1.363000e+09,-3.838974e+01
1.374000e+09,-4.198358e+01
1.385000e+09,-3.851631e+01
1.396000e+09,-3.698992e+01
1.407000e+09,-4.598841e+01
1.418000e+09,-3.962048e+01
1.429000e+09,-4.859242e+01
1.440000e+09,-4.643282e+01
1.451000e+09,-3.965496e+01
1.462000e+09,-3.971524e+01
1.473000e+09,-3.741504e+01
1.484000e+09,-4.260976e+01
1.495000e+09,-4.095971e+01
1.506000e+09,-3.513402e+01
1.517000e+09,-4.145562e+01
1.528000e+09,-3.442231e+01
1.539000e+09,-3.770442e+01
1.550000e+09,-3.658293e+01
1.561000e+09,-3.557758e+01
1.572000e+09,-3.962353e+01
1.583000e+09,-4.202526e+01
1.594000e+09,-4.491272e+01
1.605000e+09,-4.034437e+01
1.616000e+09,-4.116936e+01
1.627000e+09,-3.796330e+01
1.638000e+09,-4.054331e+01
1.649000e+09,-3.888645e+01
1.660000e+09,-3.923581e+01
1.671000e+09,-4.014776e+01
1.682000e+09,-3.879619e+01
1.693000e+09,-3.756605e+01
1.704000e+09,-3.841116e+01
1.715000e+09,-3.656126e+01
1.726000e+09,-4.657711e+01
1.737000e+09,-3.961398e+01
1.748000e+09,-4.262380e+01
1.759000e+09,-3.949073e+01
1.770000e+09,-3.733813e+01
1.781000e+09,-4.151058e+01
1.792000e+09,-3.839794e+01
