
Frequency,Formatted Data
1.000000e+09,4.999376e-01
1.011000e+09,4.094206e-01
1.022000e+09,2.600439e-01
1.033000e+09,1.413448e-01
1.044000e+09,9.273969e-02
1.055000e+09,1.819740e-01
1.066000e+09,3.402058e-01
1.077000e+09,4.595944e-01
1.088000e+09,5.060235e-01
1.099000e+09,4.379009e-01
1.110000e+09,3.173380e-01
1.121000e+09,2.593479e-01
1.132000e+09,2.047078e-01
1.143000e+09,2.754440e-01
1.154000e+09,3.762577e-01
1.165000e+09,4.629649e-01
1.176000e+09,4.884266e-01
1.187000e+09,4.316260e-01
1.198000e+09,3.269020e-01
1.209000e+09,3.084445e-01
1.220000e+09,3.034486e-01
1.231000e+09,3.270719e-01
1.242000e+09,4.205053e-01
1.253000e+09,4.742510e-01
1.264000e+09,4.683139e-01
1.275000e+09,4.234981e-01
1.286000e+09,3.870225e-01
1.297000e+09,3.586970e-01
1.308000e+09,3.818348e-01
1.319000e+09,4.405573e-01
1.330000e+09,4.711240e-01
1.341000e+09,5.122045e-01
1.352000e+09,4.662825e-01
1.363000e+09,4.359131e-01
1.374000e+09,3.640471e-01
1.385000e+09,4.151555e-01
1.396000e+09,4.281770e-01
1.407000e+09,4.337630e-01
1.418000e+09,4.779043e-01
1.429000e+09,4.695042e-01
1.440000e+09,4.607212e-01
1.451000e+09,4.392567e-01
1.462000e+09,4.117735e-01
1.473000e+09,4.371291e-01
1.484000e+09,4.666680e-01
1.495000e+09,4.978184e-01
1.506000e+09,4.709065e-01
1.517000e+09,4.375425e-01
1.528000e+09,4.115147e-01
1.539000e+09,3.512294e-01
1.550000e+09,4.267043e-01
1.561000e+09,4.512343e-01
1.572000e+09,5.108726e-01
1.583000e+09,4.839069e-01
1.594000e+09,4.811467e-01
1.605000e+09,3.814935e-01
1.616000e+09,3.403694e-01
1.627000e+09,3.795304e-01
1.638000e+09,4.035955e-01
1.649000e+09,4.833268e-01
1.660000e+09,5.121146e-01
1.671000e+09,5.267782e-01
1.682000e+09,4.931109e-01
1.693000e+09,4.710690e-01
1.704000e+09,4.436592e-01
1.715000e+09,4.477353e-01
1.726000e+09,4.165977e-01
1.737000e+09,4.418224e-01
1.748000e+09,4.603303e-01
1.759000e+09,5.125114e-01
1.770000e+09,4.478553e-01
1.781000e+09,4.472700e-01
1.792000e+09,4.885068e-01
1.803000e+09,4.725086e-01
1.814000e+09,4.937862e-01
1.825000e+09,5.117719e-01
1.836000e+09,4.716152e-01
1.847000e+09,4.404021e-01
1.858000e+09,4.807762e-01
1.869000e+09,4.835273e-01
1.880000e+09,5.175460e-01
1.891000e+09,5.540839e-01
1.902000e+09,5.563061e-01
1.913000e+09,5.352881e-01
1.924000e+09,4.561780e-01
1.935000e+09,4.737403e-01
1.946000e+09,4.706212e-01
1.957000e+09,4.717303e-01
1.968000e+09,5.943559e-01
1.979000e+09,5.723387e-01
1.990000e+09,5.963500e-01
2.001000e+09,5.414967e-01
2.012000e+09,4.987882e-01
2.023000e+09,5.262146e-01
2.034000e+09,5.673296e-01
2.045000e+09,5.876758e-01
2.056000e+09,6.170810e-01
2.067000e+09,5.733801e-01
2.078000e+09,4.996535e-01
2.089000e+09,5.008132e-01
2.100000e+09,5.001101e-01
2.111000e+09,4.941089e-01
2.122000e+09,5.501761e-01
2.133000e+09,5.682882e-01
2.144000e+09,6.129089e-01
2.155000e+09,5.262296e-01
2.166000e+09,5.609356e-01
2.177000e+09,5.336697e-01
2.188000e+09,5.680102e-01
2.199000e+09,5.879001e-01
2.210000e+09,6.249852e-01
2.221000e+09,5.802413e-01
2.232000e+09,5.283498e-01
2.243000e+09,4.635944e-01
2.254000e+09,4.743073e-01
2.265000e+09,5.239923e-01
2.276000e+09,5.780971e-01
2.287000e+09,7.124305e-01
2.298000e+09,6.504002e-01
2.309000e+09,5.525909e-01
2.320000e+09,3.998564e-01
2.331000e+09,2.645576e-01
2.342000e+09,3.432680e-01
2.353000e+09,4.363880e-01
2.364000e+09,6.537274e-01
2.375000e+09,7.810596e-01
2.386000e+09,8.358973e-01
2.397000e+09,6.926442e-01
2.408000e+09,5.478010e-01
2.419000e+09,2.962726e-01
2.430000e+09,2.236894e-01
2.441000e+09,2.915778e-01
2.452000e+09,4.776279e-01
2.463000e+09,6.819390e-01
2.474000e+09,7.711593e-01
2.485000e+09,7.502197e-01
2.496000e+09,5.539125e-01
2.507000e+09,3.629147e-01
2.518000e+09,3.212913e-01
2.529000e+09,2.785717e-01
2.540000e+09,3.843499e-01
2.551000e+09,5.121484e-01
2.562000e+09,7.052477e-01
2.573000e+09,7.319893e-01
2.584000e+09,6.974192e-01
2.595000e+09,6.333841e-01
2.606000e+09,5.099701e-01
2.617000e+09,4.786002e-01
2.628000e+09,4.196449e-01
2.639000e+09,4.654568e-01
2.650000e+09,4.812477e-01
2.661000e+09,5.451544e-01
2.672000e+09,6.845316e-01
2.683000e+09,5.858824e-01
2.694000e+09,6.580082e-01
2.705000e+09,5.577366e-01
2.716000e+09,4.972551e-01
2.727000e+09,4.475272e-01
2.738000e+09,4.457574e-01
2.749000e+09,4.119431e-01
2.760000e+09,4.957682e-01
2.771000e+09,5.447525e-01
2.782000e+09,6.323454e-01
2.793000e+09,6.662125e-01
2.804000e+09,6.015918e-01
2.815000e+09,6.195869e-01
2.826000e+09,5.947075e-01
2.837000e+09,5.809896e-01
2.848000e+09,5.709967e-01
2.859000e+09,5.862418e-01
2.870000e+09,5.741906e-01
2.881000e+09,6.370852e-01
2.892000e+09,6.617644e-01
2.903000e+09,6.659832e-01
2.914000e+09,6.837750e-01
2.925000e+09,7.694763e-01
2.936000e+09,6.526846e-01
2.947000e+09,6.134153e-01
2.958000e+09,6.202816e-01
2.969000e+09,6.060739e-01
2.980000e+09,6.721078e-01
2.991000e+09,6.590274e-01
