
Frequency,Formatted Data
1.000000e+09,-3.253137e-01
1.011000e+09,-2.694248e-01
1.022000e+09,-2.729319e-01
1.033000e+09,-2.882307e-01
1.044000e+09,-3.313389e-01
1.055000e+09,-3.794566e-01
1.066000e+09,-4.422668e-01
1.077000e+09,-3.325490e-01
1.088000e+09,-2.938058e-01
1.099000e+09,-3.225821e-01
1.110000e+09,-3.878051e-01
1.121000e+09,-3.380513e-01
1.132000e+09,-2.545745e-01
1.143000e+09,-2.826464e-01
1.154000e+09,-3.091358e-01
1.165000e+09,-3.770776e-01
1.176000e+09,-3.779455e-01
1.187000e+09,-4.341550e-01
1.198000e+09,-3.038020e-01
1.209000e+09,-2.810583e-01
1.220000e+09,-4.112379e-01
1.231000e+09,-2.750145e-01
1.242000e+09,-2.459892e-01
1.253000e+09,-2.933952e-01
1.264000e+09,-2.854299e-01
1.275000e+09,-2.013464e-01
1.286000e+09,-2.281864e-01
1.297000e+09,-2.121853e-01
1.308000e+09,-2.170353e-01
1.319000e+09,-2.403104e-01
1.330000e+09,-2.454583e-01
1.341000e+09,-2.035662e-01
1.352000e+09,-2.054117e-01
1.363000e+09,-3.011482e-01
1.374000e+09,-2.618372e-01
1.385000e+09,-2.432787e-01
1.396000e+09,-2.954268e-01
1.407000e+09,-2.596762e-01
1.418000e+09,-2.780431e-01
1.429000e+09,-2.930853e-01
1.440000e+09,-2.654382e-01
1.451000e+09,-2.859126e-01
1.462000e+09,-4.114202e-01
1.473000e+09,-3.293802e-01
1.484000e+09,-3.299954e-01
1.495000e+09,-3.406815e-01
1.506000e+09,-3.256292e-01
1.517000e+09,-3.506675e-01
1.528000e+09,-3.519625e-01
1.539000e+09,-3.017129e-01
1.550000e+09,-3.125087e-01
1.561000e+09,-3.129467e-01
1.572000e+09,-3.620216e-01
1.583000e+09,-3.599346e-01
1.594000e+09,-3.856713e-01
1.605000e+09,-3.152854e-01
1.616000e+09,-3.424753e-01
1.627000e+09,-4.243964e-01
1.638000e+09,-3.044002e-01
1.649000e+09,-2.843128e-01
1.660000e+09,-3.678293e-01
1.671000e+09,-3.983815e-01
1.682000e+09,-3.370975e-01
1.693000e+09,-3.650091e-01
1.704000e+09,-4.401643e-01
1.715000e+09,-3.246280e-01
1.726000e+09,-3.412271e-01
1.737000e+09,-4.205729e-01
1.748000e+09,-3.993280e-01
1.759000e+09,-4.409212e-01
1.770000e+09,-4.865648e-01
1.781000e+09,-3.899092e-01
1.792000e+09,-4.771202e-01
1.803000e+09,-4.821072e-01
1.814000e+09,-4.265980e-01
1.825000e+09,-4.782489e-01
1.836000e+09,-4.943180e-01
1.847000e+09,-5.125637e-01
1.858000e+09,-4.934221e-01
1.869000e+09,-4.922042e-01
1.880000e+09,-5.252125e-01
1.891000e+09,-5.092025e-01
1.902000e+09,-6.095231e-01
1.913000e+09,-5.837927e-01
1.924000e+09,-5.010181e-01
1.935000e+09,-5.307316e-01
1.946000e+09,-5.145875e-01
1.957000e+09,-6.288268e-01
1.968000e+09,-6.209606e-01
1.979000e+09,-5.845601e-01
1.990000e+09,-6.365084e-01
2.001000e+09,-5.169713e-01
2.012000e+09,-5.035185e-01
2.023000e+09,-4.971144e-01
2.034000e+09,-5.868745e-01
2.045000e+09,-5.599777e-01
2.056000e+09,-5.737029e-01
2.067000e+09,-6.411885e-01
2.078000e+09,-4.741197e-01
2.089000e+09,-5.079686e-01
2.100000e+09,-5.249153e-01
2.111000e+09,-5.415052e-01
2.122000e+09,-5.898117e-01
2.133000e+09,-5.682111e-01
2.144000e+09,-5.785899e-01
2.155000e+09,-5.991452e-01
2.166000e+09,-5.684114e-01
2.177000e+09,-6.474451e-01
2.188000e+09,-5.454815e-01
2.199000e+09,-5.143272e-01
2.210000e+09,-4.641621e-01
2.221000e+09,-6.208948e-01
2.232000e+09,-4.879000e-01
2.243000e+09,-6.732805e-01
2.254000e+09,-6.123890e-01
2.265000e+09,-6.887782e-01
2.276000e+09,-8.090673e-01
2.287000e+09,-6.042710e-01
2.298000e+09,-7.373860e-01
2.309000e+09,-6.392804e-01
2.320000e+09,-7.369475e-01
2.331000e+09,-7.806397e-01
2.342000e+09,-7.316234e-01
2.353000e+09,-8.602960e-01
2.364000e+09,-8.887710e-01
2.375000e+09,-8.989247e-01
2.386000e+09,-8.194614e-01
2.397000e+09,-8.986646e-01
2.408000e+09,-8.031787e-01
2.419000e+09,-7.694781e-01
2.430000e+09,-7.537608e-01
2.441000e+09,-8.918939e-01
2.452000e+09,-9.127493e-01
2.463000e+09,-8.955267e-01
2.474000e+09,-9.562384e-01
2.485000e+09,-9.906588e-01
2.496000e+09,-9.512225e-01
2.507000e+09,-9.442479e-01
2.518000e+09,-9.419551e-01
2.529000e+09,-9.935444e-01
2.540000e+09,-1.033613e+00
2.551000e+09,-1.045389e+00
2.562000e+09,-1.029281e+00
2.573000e+09,-1.169357e+00
2.584000e+09,-1.123258e+00
2.595000e+09,-1.157864e+00
2.606000e+09,-1.172447e+00
2.617000e+09,-1.219134e+00
2.628000e+09,-1.176029e+00
2.639000e+09,-1.174297e+00
2.650000e+09,-1.252506e+00
2.661000e+09,-1.118402e+00
2.672000e+09,-1.207724e+00
2.683000e+09,-1.183980e+00
2.694000e+09,-1.128498e+00
2.705000e+09,-1.226687e+00
2.716000e+09,-1.233113e+00
2.727000e+09,-1.164873e+00
2.738000e+09,-1.206202e+00
2.749000e+09,-1.158208e+00
2.760000e+09,-1.177665e+00
2.771000e+09,-1.089194e+00
2.782000e+09,-1.108899e+00
2.793000e+09,-1.189881e+00
2.804000e+09,-1.135248e+00
2.815000e+09,-1.299747e+00
2.826000e+09,-1.147976e+00
2.837000e+09,-1.296307e+00
2.848000e+09,-1.399268e+00
2.859000e+09,-1.393045e+00
2.870000e+09,-1.296113e+00
2.881000e+09,-1.409547e+00
2.892000e+09,-1.454188e+00
2.903000e+09,-1.420752e+00
2.914000e+09,-1.330558e+00
2.925000e+09,-1.506256e+00
2.936000e+09,-1.480527e+00
2.947000e+09,-1.505668e+00
2.958000e+09,-1.500526e+00
2.969000e+09,-1.403148e+00
2.980000e+09,-1.344988e+00
2.991000e+09,-1.358559e+00
3.002000e+09,-1.475949e+00
3.013000e+09,-1.279161e+00
3.024000e+09,-1.431957e+00
3.035000e+09,-1.365272e+00
3.046000e+09,-1.354253e+00
3.057000e+09,-1.316273e+00
3.068000e+09,-1.272597e+00
3.079000e+09,-1.307441e+00
3.090000e+09,-1.271913e+00
3.101000e+09,-1.459561e+00
3.112000e+09,-1.393494e+00
3.123000e+09,-1.218899e+00
3.134000e+09,-1.288047e+00
3.145000e+09,-1.539744e+00
3.156000e+09,-1.468515e+00
3.167000e+09,-1.235971e+00
3.178000e+09,-1.409720e+00
3.189000e+09,-1.364626e+00
3.200000e+09,-1.389829e+00
